JAPANESE_ja_Hani_x_jsource
===========================

Characters include in the JAPANESE_ja_Hani_x_jsource ja_Hani_x_jsource set
===========================================================================

~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
005544..005547   啄 啅 商 啇
005549..00554a   啉 啊
00554c..00554d   啌 啍
00554f..005551   問 啐 啑
005553           啓
005556..005558   啖 啗 啘
00555a..00555e   啚 啛 啜 啝 啞
005560..005561   啠 啡
005563..005564   啣 啤
005566           啦
00557b..005584   啻 啼 啽 啾 啿 喀 喁 喂 喃 善
005586..00558b   喆 喇 喈 喉 喊 喋
00558e..00558f   喎 喏
005591..005594   喑 喒 喓 喔
005597..00559a   喗 喘 喙 喚
00559c..00559f   喜 喝 喞 喟
0055a3..0055a4   喣 喤
0055a7..0055ae   喧 喨 喩 喪 喫 喬 喭 單
0055b0           喰
0055b2           喲
0055b6           営
0055bf           喿
0055c1           嗁
0055c3..0055c7   嗃 嗄 嗅 嗆 嗇
0055c9           嗉
0055cb..0055cc   嗋 嗌
0055ce           嗎
0055d1..0055d4   嗑 嗒 嗓 嗔
0055d7..0055d8   嗗 嗘
0055da..0055df   嗚 嗛 嗜 嗝 嗞 嗟
0055e2..0055e4   嗢 嗣 嗤
0055e9           嗩
0055f6..0055f7   嗶 嗷
0055f9           嗹
0055fd..0055ff   嗽 嗾 嗿
005605..00560a   嘅 嘆 嘇 嘈 嘉 嘊
00560d..005612   嘍 嘎 嘏 嘐 嘑 嘒
005614           嘔
005616..005619   嘖 嘗 嘘 嘙
00561b           嘛
005628..005629   嘨 嘩
00562c           嘬
00562f..005639   嘯 嘰 嘱 嘲 嘳 嘴 嘵 嘶 嘷 嘸 嘹
00563b..00563d   嘻 嘼 嘽
00563f..005644   嘿 噀 噁 噂 噃 噄
005646..005647   噆 噇
005649           噉
00564b..005650   噋 噌 噍 噎 噏 噐
005653..005654   噓 噔
00565b           噛
00565e           噞
005660..005664   噠 噡 噢 噣 噤
005666           噦
005668..00566d   器 噩 噪 噫 噬 噭
00566f           噯
005671..005672   噱 噲
005674..005676   噴 噵 噶
005678           噸
00567a           噺
005680           嚀
005684..005688   嚄 嚅 嚆 嚇 嚈
00568a..00568c   嚊 嚋 嚌
00568f           嚏
005694..005695   嚔 嚕
005699..00569a   嚙 嚚
00569d..0056a0   嚝 嚞 嚟 嚠
0056a2           嚢
0056a5..0056a9   嚥 嚦 嚧 嚨 嚩
0056ab..0056ae   嚫 嚬 嚭 嚮
0056b1..0056b4   嚱 嚲 嚳 嚴
0056b6..0056b7   嚶 嚷
0056bc           嚼
0056be           嚾
0056c0..0056c3   囀 囁 囂 囃
0056c5           囅
0056c8..0056d1   囈 囉 囊 囋 囌 囍 囎 囏 囐 囑
0056d3           囓
0056d7..0056e1   囗 囘 囙 囚 四 囜 囝 回 囟 因 囡
0056e3..0056e8   団 囤 囥 囦 囧 囨
0056eb           囫
0056ed..0056ee   园 囮
0056f0..0056f3   困 囱 囲 図
0056f6..0056f7   囶 囷
0056f9..0056fa   囹 固
0056fd           国
0056ff..005704   囿 圀 圁 圂 圃 圄
005707..00570d   圇 圈 圉 圊 國 圌 圍
00570f           圏
